id,time,divorced,hiseduc,hereduc,heblack,sheblack,hisage,agediff
9,2,0,12,12,0,0,20.952999114990234,1.0130000114440918
11,3,0,3,3,0,0,24.49799919128418,0.6869999766349792
13,2,1,8,8,0,0,31.000999450683594,2.3519999980926514
15,1,1,7,7,0,0,19.499000549316406,2.3519999980926514
33,1,0,12,10,0,0,18.166000366210938,0.8299999833106995
36,5,0,8,13,0,0,23.58099937438965,-0.9990000128746033
43,4,0,16,16,0,0,22.5,0.16200000047683716
47,3,0,5,9,0,0,23.499000549316406,4
50,3,0,5,9,0,0,19.499000549316406,4
56,2,0,11,12,1,1,30.584999084472656,5.084000110626221
63,3,0,15,14,1,1,25.166000366210938,2.1659998893737793
66,1,1,12,12,0,0,24.084999084472656,2.3519999980926514
70,1,0,13,17,0,0,25.832000732421875,1.9989999532699585
77,2,0,16,16,0,0,24.834999084472656,2.3519999980926514
80,4,0,8,8,0,0,20.753000259399414,2.3519999980926514
84,3,0,12,10,0,0,16.33099937438965,4.085000038146973
87,4,0,12,12,0,0,19.336999893188477,2.3519999980926514
90,5,0,8,12,0,0,24.49799919128418,2.4200000762939453
91,3,1,12,10,0,0,19.836000442504883,-1.4210000038146973
94,4,0,12,12,0,0,17.916000366210938,0.5860000252723694
109,1,0,8,8,0,0,32.500999450683594,5.979000091552734
111,3,0,8,8,0,0,25.75200080871582,2.3519999980926514
114,2,0,10,9,0,0,28.62700080871582,17.832000732421875
116,3,0,9,14,0,0,18.5,-0.3499999940395355
118,1,0,8,8,0,0,16.49799919128418,2.3519999980926514
120,2,0,7,12,0,0,24.49799919128418,7.328999996185303
122,3,0,16,16,0,0,19.170000076293945,-0.16200000047683716
124,3,0,16,16,0,0,21.42099952697754,2.502000093460083
128,1,1,12,10,0,0,18.167999267578125,1.3309999704360962
129,2,1,14,14,0,0,19.917999267578125,2.3519999980926514
137,1,0,8,12,0,0,19.499000549316406,6.98199987411499
139,8,1,1,1,0,0,16.545000076293945,2.3519999980926514
141,1,0,9,12,0,0,15.151000022888184,4.747000217437744
145,2,0,9,10,0,0,21.02400016784668,3.3540000915527344
148,8,0,14,13,0,0,20.75,1.7489999532699585
