url,id,name,gender,culture,spouse,alias_length,alias_names,has_spouse,birth_year,death_year,birth_place,death_place,is_alive,age
https://anapioficeandfire.com/api/characters/1,1,NA,Female,Braavosi,NA,1,The Daughter of the Dusk,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/2,2,Walder,Male,NA,NA,1,Hodor,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/3,3,NA,Male,NA,NA,1,Lamprey,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/4,4,NA,Female,Braavosi,NA,1,The Merling Queen,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/5,5,NA,Male,NA,NA,1,Old Crackbones,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/6,6,NA,Female,Braavosi,NA,1,The Poetess,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/7,7,NA,Female,NA,NA,1,Porridge,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/8,8,NA,Male,NA,NA,1,Quickfinger,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/9,9,NA,Female,NA,NA,1,the Sailor's Wife,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/10,10,NA,Female,Braavosi,NA,1,The Veiled Lady,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/11,11,NA,Female,Braavosi,NA,1,The waif,FALSE,263,NA,NA,NA,TRUE,37
https://anapioficeandfire.com/api/characters/12,12,Balon Greyjoy,Male,NA,https://anapioficeandfire.com/api/characters/66,5,Balon the Brave; Balon the Blessed; Balon the Twice Crowned; Balon the Widowmaker; The Kraken King,TRUE,NA,299,NA,Pyke,FALSE,NA
https://anapioficeandfire.com/api/characters/13,13,Chayle,Male,NA,NA,1,,FALSE,NA,299,NA,Winterfell,FALSE,NA
https://anapioficeandfire.com/api/characters/14,14,Gillam,Male,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/15,15,High Septon,Male,NA,NA,1,The High Sparrow,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/16,16,Margaery Tyrell,Female,Westeros,https://anapioficeandfire.com/api/characters/862,3,The Little Queen; The Little Rose; Maid Margaery,TRUE,283,NA,Highgarden,NA,TRUE,17
https://anapioficeandfire.com/api/characters/17,17,Melicent,Female,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/18,18,Meribald,Male,NA,NA,1,,FALSE,247,NA,The Riverlands,NA,TRUE,53
https://anapioficeandfire.com/api/characters/19,19,Moelle,Female,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/20,20,Mordane,Female,NA,NA,1,,FALSE,NA,298,NA,King's Landing,FALSE,NA
https://anapioficeandfire.com/api/characters/21,21,Nysterica,Female,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/22,22,Ollidor,Male,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/23,23,Osmynd,Male,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/24,24,Raynard,Male,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/25,25,Scolera,Female,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/26,26,Torbert,Male,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/27,27,Tywin Lannister,Male,NA,https://anapioficeandfire.com/api/characters/562,3,The Lion of Lannister; The Old Lion; The Great Lion of the Rock,TRUE,242,300,NA,King's Landing,FALSE,58
https://anapioficeandfire.com/api/characters/28,28,Unella,Female,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/29,29,Abelar Hightower,Male,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/30,30,Addam Frey,Male,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/31,31,Addam Marbrand,Male,NA,NA,1,,FALSE,NA,NA,NA,NA,NA,NA
https://anapioficeandfire.com/api/characters/32,32,Addam Osgrey,Male,NA,NA,1,,FALSE,183,196,NA,Redgrass Field,FALSE,13
https://anapioficeandfire.com/api/characters/33,33,Addam Velaryon,Male,Valyrian,NA,1,Addam of Hull,FALSE,114,130,Hull,Tumbleton,FALSE,16
https://anapioficeandfire.com/api/characters/34,34,Addison Hill,Male,NA,NA,1,The Bastard of Cornfield,FALSE,NA,NA,Cornfield,NA,NA,NA
https://anapioficeandfire.com/api/characters/35,35,Aegon Blackfyre,Male,Valyrian,NA,1,,FALSE,184,196,NA,Redgrass Field,FALSE,12
https://anapioficeandfire.com/api/characters/36,36,Aegon Frey,Male,NA,NA,1,Jinglebell,FALSE,249,299,NA,The Twins,FALSE,50
